title,tomato_score,audience_score,genre,release_date,rate,run_time,language,distributor
Modern Times,98,95,Comedy,"Feb 5 1936",G,1h 29m,English,United Artists
The Wizard of Oz,98,89,"Kids&family/Musical/Fantasy","Aug 25 1939",G,1h 41m,English,Metro-Goldwyn-Mayer
Black Panther,96,79,"Action/Adventure/Fantasy","Feb 16 2018",PG-13 (Sequences of Action Violence|A Brief Rude Gesture),2h 14m,English,Walt Disney
Citizen Kane,99,90,Drama,"May 1 1941",PG,1h 59m,English,RKO Radio Pictures
Parasite,98,90,"Mystery&thriller/Drama/Comedy","Nov 1 2019",R (Sexual Content|Language|Some Violence),2h 12m,Korean,Neon
Avengers: Endgame,94,90,"Action/Adventure/Sci-fi/Fantasy","Apr 26 2019",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),3h 1m,English,Walt Disney
Casablanca,99,95,Drama,"Jan 23 1943",PG,Warner Bros. Pictures,English,Mono
Knives Out,97,92,"Mystery&thriller/Crime/Drama/Comedy","Nov 27 2019",PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),2h 10m,English,Lionsgate Films
Us,93,59,"Mystery&thriller/Horror","Mar 22 2019",R (Violence/Terror|Language),1h 56m,English,Universal Pictures
Toy Story 4,97,94,"Animation/Fantasy/Kids&family/Adventure,Comedy","Jun 21 2019",G,1h 40m,English,Walt Disney
Lady Bird,99,79,"Drama/Comedy","Nov 22 2017",R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),1h 34m,English,A24
Mission: Impossible -- Fallout,97,88,"Action/Adventure/Mystery&thriller","Jul 27 2018",PG-13 (Intense Sequences of Action|Brief Strong Language|Violence),2h 27m,English,Paramount Pictures
BlacKkKlansman,96,83,"Crime/Drama/Comedy","Aug 10 2018",R (Language Throughout|Disturbing/Violent Material|Racial Epithets|Some Sexual References),2h 14m,English,Focus Features
Get Out,98,86,"Mystery&thriller/Horror/Comedy","Feb 24 2017",R (Language|Bloody Images|Sexual References|Violence),1h 44m,English,Universal Pictures
The Irishman,95,86,"Crime/Drama","Nov 1 2019",R (Strong Violence|Pervasive Language),Netflix,English,Dolby Atmos
The Godfather,97,98,"Crime/Drama","Mar 15 1972",R,2h 57m,English,Paramount Pictures
Mad Max: Fury Road,97,86,"Action/Adventure","May 15 2015",R (Intense Sequences of Violence|Disturbing Images),2h 0m,English,Warner Bros. Pictures
Spider-Man: Into the Spider-Verse,97,93,"Animation/Action/Fantasy/Kids&family/Adventure/Comedy","Dec 14 2018",PG (Mild Language|Frenetic Action Violence|Thematic Elements),1h 57m,English,"Sony Pictures Entertainment,Columbia Pictures"
Moonlight,98,79,"Lgbtq+/Drama","Nov 18 2016",R (Drug Use|Brief Violence|Language Throughout|Some Sexuality),1h 51m,English,A24
Roma,96,72,Drama,"Nov 21 2018",R (Language|Graphic Nudity|Some Disturbing Images),Netflix,Spanish,Dolby Atmos
Wonder Woman,93,83,"Adventure/Action/Fantasy","Jun 2 2017",PG-13 (Sequences of Violence|Action|Some Suggestive Content),2h 21m,English,Warner Bros. Pictures
