Label,Score,
NEGATIVE,0.843261003,
F,,A
POSITIVE,0.999634147,
POSITIVE,0.998516738,
F,,A
POSITIVE,0.995907187,
POSITIVE,0.99942565,
POSITIVE,0.999845028,
POSITIVE,0.999823868,
NEGATIVE,0.999219418,
NEGATIVE,0.933195353,
POSITIVE,0.999867082,
NEGATIVE,0.99972409,
POSITIVE,0.997152448,
F,,A
POSITIVE,0.999729812,
F,,A
POSITIVE,0.999885201,
POSITIVE,0.997635722,
F,,A
POSITIVE,0.999882579,
POSITIVE,0.999865294,
POSITIVE,0.999840021,
NEGATIVE,0.980148315,
POSITIVE,0.999817073,
NEGATIVE,0.792931199,
NEGATIVE,0.999312997,
F,,A
F,,A
POSITIVE,0.99980849,
POSITIVE,0.999880075,
NEGATIVE,0.983516872,
POSITIVE,0.999862075,
POSITIVE,0.998792648,
POSITIVE,0.999848485,
F,,A
POSITIVE,0.999874473,
POSITIVE,0.999869466,
F,,A
POSITIVE,0.999665618,
NEGATIVE,0.671873808,
F,,A
POSITIVE,0.999827981,
NEGATIVE,0.996863604,
POSITIVE,0.995657444,
POSITIVE,0.999605596,
POSITIVE,0.978994668,
NEGATIVE,0.987444282,
POSITIVE,0.971892118,
POSITIVE,0.999188483,
POSITIVE,0.999856591,
POSITIVE,0.999822319,
POSITIVE,0.999860883,
F,,A
POSITIVE,0.99987793,
F,,A
POSITIVE,0.999511123,
POSITIVE,0.999877691,
POSITIVE,0.996516466,
F,,A
POSITIVE,0.999839425,
F,,A
POSITIVE,0.999867201,
POSITIVE,0.99984467,
POSITIVE,0.99985981,
POSITIVE,0.882682443,
POSITIVE,0.999764144,
POSITIVE,0.999853849,
POSITIVE,0.990020156,
POSITIVE,0.999862909,
POSITIVE,0.999851942,
POSITIVE,0.998204112,
F,,A
F,,A
POSITIVE,0.999692321,
NEGATIVE,0.998598635,
NEGATIVE,0.927746534,
POSITIVE,0.999878407,
POSITIVE,0.999813616,
POSITIVE,0.998553932,
F,,A
POSITIVE,0.999881864,
POSITIVE,0.996136606,
POSITIVE,0.999847293,
POSITIVE,0.997813344,
POSITIVE,0.999745071,
POSITIVE,0.951613903,
POSITIVE,0.99988234,
F,,A
POSITIVE,0.99984777,
POSITIVE,0.999884367,
POSITIVE,0.999844074,
F,,A
POSITIVE,0.999533653,
POSITIVE,0.999880075,
POSITIVE,0.999671817,
POSITIVE,0.999853492,
F,,A
POSITIVE,0.999776185,
NEGATIVE,0.895367801,
F,,A
POSITIVE,0.999875903,
F,,A
POSITIVE,0.999819815,
POSITIVE,0.999839187,
POSITIVE,0.957680285,
POSITIVE,0.999853969,
F,,A
POSITIVE,0.999878883,
POSITIVE,0.999450386,
POSITIVE,0.988359094,
POSITIVE,0.99988091,
NEGATIVE,0.986842573,
F,,A
POSITIVE,0.950586438,
POSITIVE,0.999886394,
POSITIVE,0.99985373,
POSITIVE,0.999889851,
POSITIVE,0.999869227,
POSITIVE,0.999827087,
POSITIVE,0.999725759,
F,,A
POSITIVE,0.999857664,
POSITIVE,0.999847293,
POSITIVE,0.999889851,
POSITIVE,0.999874592,
POSITIVE,0.999795616,
POSITIVE,0.999887705,
F,,A
F,,A
POSITIVE,0.999828339,
POSITIVE,0.999868751,
POSITIVE,0.974679112,
F,,A
POSITIVE,0.999858022,
POSITIVE,0.999094009,
POSITIVE,0.999642253,
NEGATIVE,0.98954916,
POSITIVE,0.999548972,
POSITIVE,0.99984026,
POSITIVE,0.99959141,
POSITIVE,0.996529162,
POSITIVE,0.999872804,
POSITIVE,0.996683061,
POSITIVE,0.999884844,
POSITIVE,0.999866247,
POSITIVE,0.999459445,
POSITIVE,0.999877572,
POSITIVE,0.999877214,
POSITIVE,0.999870539,
POSITIVE,0.999483943,
POSITIVE,0.999873877,
POSITIVE,0.999834776,
POSITIVE,0.999889612,
POSITIVE,0.999668837,
POSITIVE,0.999868631,
POSITIVE,0.97564131,
POSITIVE,0.999869227,
POSITIVE,0.999579489,
POSITIVE,0.99817121,
NEGATIVE,0.969713986,
NEGATIVE,0.900805414,
POSITIVE,0.999886274,
NEGATIVE,0.745586753,
POSITIVE,0.999863982,
POSITIVE,0.999442518,
POSITIVE,0.999863267,
F,,A
POSITIVE,0.999671578,
NEGATIVE,0.999667525,
NEGATIVE,0.998844147,
POSITIVE,0.998632729,
F,,A
NEGATIVE,0.981790662,
POSITIVE,0.999825537,
POSITIVE,0.999852538,
F,,A
POSITIVE,0.999884248,
POSITIVE,0.999821723,
POSITIVE,0.989212871,
POSITIVE,0.994848907,
POSITIVE,0.999683142,
POSITIVE,0.999687314,
POSITIVE,0.999889016,
POSITIVE,0.999858499,
POSITIVE,0.999833584,
F,,A
POSITIVE,0.999860048,
POSITIVE,0.99976176,
POSITIVE,0.999709547,
F,,A
POSITIVE,0.999813735,
NEGATIVE,0.999752462,
NEGATIVE,0.958173394,
POSITIVE,0.999694109,
POSITIVE,0.947343588,
POSITIVE,0.999753892,
POSITIVE,0.990740776,
POSITIVE,0.999863863,
POSITIVE,0.998848081,
POSITIVE,0.999879122,
POSITIVE,0.999849558,
POSITIVE,0.981814682,
NEGATIVE,0.967533231,
F,,A
POSITIVE,0.99987042,
POSITIVE,0.999840736,
POSITIVE,0.934405327,
POSITIVE,0.999511242,
POSITIVE,0.999775827,
POSITIVE,0.984464228,
POSITIVE,0.992141366,
F,,A
POSITIVE,0.988622963,
POSITIVE,0.997821212,
POSITIVE,0.998596013,
F,,A
POSITIVE,0.999872088,
F,,A
POSITIVE,0.980799437,
NEGATIVE,0.986677051,
POSITIVE,0.999790013,
POSITIVE,0.999865174,
POSITIVE,0.999870658,
POSITIVE,0.999744833,
NEGATIVE,0.997088015,
POSITIVE,0.999842644,
POSITIVE,0.999785841,
POSITIVE,0.999859095,
NEGATIVE,0.98160696,
POSITIVE,0.992202878,
POSITIVE,0.999740422,
POSITIVE,0.999758542,
NEGATIVE,0.967020929,
F,,A
POSITIVE,0.941462398,
POSITIVE,0.863565147,
POSITIVE,0.999874234,
F,,A
F,,A
F,,A
POSITIVE,0.999531031,
POSITIVE,0.99984324,
F,,A
NEGATIVE,0.992489636,
POSITIVE,0.999881029,
POSITIVE,0.999731123,
POSITIVE,0.99985981,
NEGATIVE,0.936861575,
POSITIVE,0.991024494,
NEGATIVE,0.982558966,
POSITIVE,0.998419404,
NEGATIVE,0.994687915,
F,,A
POSITIVE,0.999864578,
F,,A
NEGATIVE,0.811255336,
F,,A
POSITIVE,0.9988451,
NEGATIVE,0.994475305,
POSITIVE,0.999747217,
POSITIVE,0.99983716,
POSITIVE,0.999870539,
NEGATIVE,0.861334324,
F,,A
POSITIVE,0.999340832,
F,,A
F,,A
POSITIVE,0.999502063,
POSITIVE,0.999734461,
POSITIVE,0.999765217,
POSITIVE,0.999880672,
F,,A
NEGATIVE,0.980723977,
POSITIVE,0.999882698,
POSITIVE,0.999813735,
F,,A
POSITIVE,0.997047842,
F,,A
POSITIVE,0.999885678,
POSITIVE,0.998502254,
POSITIVE,0.999867916,
POSITIVE,0.999817073,
NEGATIVE,0.998492479,
POSITIVE,0.999889135,
NEGATIVE,0.996807337,
POSITIVE,0.999661207,
POSITIVE,0.999584019,
POSITIVE,0.99986434,
POSITIVE,0.999888182,
NEGATIVE,0.990662754,
NEGATIVE,0.964393258,
POSITIVE,0.998680651,
POSITIVE,0.999867916,
POSITIVE,0.999881148,
POSITIVE,0.999328494,
NEGATIVE,0.973438799,
POSITIVE,0.999849081,
POSITIVE,0.999618053,
POSITIVE,0.999646187,
POSITIVE,0.999870539,
POSITIVE,0.999387622,
POSITIVE,0.999879718,
POSITIVE,0.999876142,
POSITIVE,0.973619342,
POSITIVE,0.999820888,
F,,A
POSITIVE,0.977633297,
POSITIVE,0.998530507,
POSITIVE,0.999882817,
POSITIVE,0.999807179,
POSITIVE,0.999795377,
POSITIVE,0.999875665,
POSITIVE,0.797738671,
POSITIVE,0.999889016,
POSITIVE,0.999827087,
POSITIVE,0.996302366,
POSITIVE,0.999858499,
F,,A
POSITIVE,0.9950701,
NEGATIVE,0.856223643,
NEGATIVE,0.999480426,
NEGATIVE,0.983592629,
POSITIVE,0.999876976,
POSITIVE,0.999593556,
NEGATIVE,0.953756392,
F,,A
POSITIVE,0.999783218,
POSITIVE,0.999880672,
POSITIVE,0.99988997,
POSITIVE,0.999820292,
POSITIVE,0.999612749,
F,,A
POSITIVE,0.999383688,
POSITIVE,0.999790013,
POSITIVE,0.999830246,
POSITIVE,0.999592721,
NEGATIVE,0.999456227,
POSITIVE,0.99984026,
POSITIVE,0.999861598,
F,,A
POSITIVE,0.999881625,
NEGATIVE,0.973759592,
NEGATIVE,0.879687905,
POSITIVE,0.999686837,
POSITIVE,0.999815047,
POSITIVE,0.999742568,
F,,A
NEGATIVE,0.975086093,
POSITIVE,0.999798357,
POSITIVE,0.99981457,
POSITIVE,0.999694943,
POSITIVE,0.999794662,
POSITIVE,0.994848728,
NEGATIVE,0.998492479,
POSITIVE,0.999348462,
NEGATIVE,0.995751023,
POSITIVE,0.99797827,
POSITIVE,0.999194443,
POSITIVE,0.999652624,
POSITIVE,0.999833226,
POSITIVE,0.999740064,
F,,A
POSITIVE,0.991160452,
POSITIVE,0.995509148,
POSITIVE,0.99988389,
F,,A
POSITIVE,0.692442536,
POSITIVE,0.999889731,
F,,A
F,,A
POSITIVE,0.999709904,
F,,A
POSITIVE,0.998975873,
POSITIVE,0.996928513,
F,,A
POSITIVE,0.99952209,
POSITIVE,0.999556959,
POSITIVE,0.999840975,
NEGATIVE,0.992994487,
F,,A
POSITIVE,0.999818861,
F,,A
POSITIVE,0.999657154,
F,,A
POSITIVE,0.999520183,
POSITIVE,0.999836564,
F,,A
F,,A
F,,A
POSITIVE,0.998902202,
POSITIVE,0.999841928,
